service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
299,1,1,0,1,0,1,0,20200101,20991231
300,0,0,1,1,0,1,0,20200101,20991231
301,1,0,1,1,0,1,0,20200101,20991231
302,0,1,1,1,0,1,0,20200101,20991231
303,1,1,1,1,0,1,0,20200101,20991231
304,0,0,0,0,1,1,0,20200101,20991231
305,1,0,0,0,1,1,0,20200101,20991231
306,0,1,0,0,1,1,0,20200101,20991231
307,1,1,0,0,1,1,0,20200101,20991231
308,0,0,1,0,1,1,0,20200101,20991231
309,1,0,1,0,1,1,0,20200101,20991231
310,0,1,1,0,1,1,0,20200101,20991231
311,1,1,1,0,1,1,0,20200101,20991231
312,0,0,0,1,1,1,0,20200101,20991231
313,1,0,0,1,1,1,0,20200101,20991231
314,0,1,0,1,1,1,0,20200101,20991231
315,1,1,0,1,1,1,0,20200101,20991231
316,0,0,1,1,1,1,0,20200101,20991231
317,1,0,1,1,1,1,0,20200101,20991231
318,0,1,1,1,1,1,0,20200101,20991231
319,1,1,1,1,1,1,0,20200101,20991231
320,0,0,0,0,0,0,1,20200101,20991231
321,1,0,0,0,0,0,1,20200101,20991231
322,0,1,0,0,0,0,1,20200101,20991231
323,1,1,0,0,0,0,1,20200101,20991231
324,0,0,1,0,0,0,1,20200101,20991231
325,1,0,1,0,0,0,1,20200101,20991231
326,0,1,1,0,0,0,1,20200101,20991231
327,1,1,1,0,0,0,1,20200101,20991231
328,0,0,0,1,0,0,1,20200101,20991231
329,1,0,0,1,0,0,1,20200101,20991231
330,0,1,0,1,0,0,1,20200101,20991231
331,1,1,0,1,0,0,1,20200101,20991231
332,0,0,1,1,0,0,1,20200101,20991231
333,1,0,1,1,0,0,1,20200101,20991231
334,0,1,1,1,0,0,1,20200101,20991231
335,1,1,1,1,0,0,1,20200101,20991231
336,0,0,0,0,1,0,1,20200101,20991231
337,1,0,0,0,1,0,1,20200101,20991231
338,0,1,0,0,1,0,1,20200101,20991231
339,1,1,0,0,1,0,1,20200101,20991231
340,0,0,1,0,1,0,1,20200101,20991231
341,1,0,1,0,1,0,1,20200101,20991231
342,0,1,1,0,1,0,1,20200101,20991231
343,1,1,1,0,1,0,1,20200101,20991231
344,0,0,0,1,1,0,1,20200101,20991231
345,1,0,0,1,1,0,1,20200101,20991231
346,0,1,0,1,1,0,1,20200101,20991231
347,1,1,0,1,1,0,1,20200101,20991231
348,0,0,1,1,1,0,1,20200101,20991231
349,1,0,1,1,1,0,1,20200101,20991231
350,0,1,1,1,1,0,1,20200101,20991231
351,1,1,1,1,1,0,1,20200101,20991231
352,0,0,0,0,0,1,1,20200101,20991231
353,1,0,0,0,0,1,1,20200101,20991231
354,0,1,0,0,0,1,1,20200101,20991231
355,1,1,0,0,0,1,1,20200101,20991231
356,0,0,1,0,0,1,1,20200101,20991231
357,1,0,1,0,0,1,1,20200101,20991231
358,0,1,1,0,0,1,1,20200101,20991231
359,1,1,1,0,0,1,1,20200101,20991231
360,0,0,0,1,0,1,1,20200101,20991231
361,1,0,0,1,0,1,1,20200101,20991231
362,0,1,0,1,0,1,1,20200101,20991231
363,1,1,0,1,0,1,1,20200101,20991231
364,0,0,1,1,0,1,1,20200101,20991231
365,1,0,1,1,0,1,1,20200101,20991231
366,0,1,1,1,0,1,1,20200101,20991231
367,1,1,1,1,0,1,1,20200101,20991231
368,0,0,0,0,1,1,1,20200101,20991231
369,1,0,0,0,1,1,1,20200101,20991231
370,0,1,0,0,1,1,1,20200101,20991231
371,1,1,0,0,1,1,1,20200101,20991231
372,0,0,1,0,1,1,1,20200101,20991231
373,1,0,1,0,1,1,1,20200101,20991231
374,0,1,1,0,1,1,1,20200101,20991231
375,1,1,1,0,1,1,1,20200101,20991231
376,0,0,0,1,1,1,1,20200101,20991231
377,1,0,0,1,1,1,1,20200101,20991231
378,0,1,0,1,1,1,1,20200101,20991231
379,1,1,0,1,1,1,1,20200101,20991231
380,0,0,1,1,1,1,1,20200101,20991231
381,1,0,1,1,1,1,1,20200101,20991231
382,0,1,1,1,1,1,1,20200101,20991231
383,1,1,1,1,1,1,1,20200101,20991231
384,0,0,0,0,0,0,0,20200101,20991231
385,1,0,0,0,0,0,0,20200101,20991231
386,0,1,0,0,0,0,0,20200101,20991231
387,1,1,0,0,0,0,0,20200101,20991231
388,0,0,1,0,0,0,0,20200101,20991231
389,1,0,1,0,0,0,0,20200101,20991231
390,0,1,1,0,0,0,0,20200101,20991231
391,1,1,1,0,0,0,0,20200101,20991231
392,0,0,0,1,0,0,0,20200101,20991231
393,1,0,0,1,0,0,0,20200101,20991231
394,0,1,0,1,0,0,0,20200101,20991231
395,1,1,0,1,0,0,0,20200101,20991231
396,0,0,1,1,0,0,0,20200101,20991231
397,1,0,1,1,0,0,0,20200101,20991231
398,0,1,1,1,0,0,0,20200101,20991231
399,1,1,1,1,0,0,0,20200101,20991231
400,0,0,0,0,1,0,0,20200101,20991231
401,1,0,0,0,1,0,0,20200101,20991231
402,0,1,0,0,1,0,0,20200101,20991231
403,1,1,0,0,1,0,0,20200101,20991231
404,0,0,1,0,1,0,0,20200101,20991231
405,1,0,1,0,1,0,0,20200101,20991231
406,0,1,1,0,1,0,0,20200101,20991231
407,1,1,1,0,1,0,0,20200101,20991231
408,0,0,0,1,1,0,0,20200101,20991231
409,1,0,0,1,1,0,0,20200101,20991231
410,0,1,0,1,1,0,0,20200101,20991231
411,1,1,0,1,1,0,0,20200101,20991231
412,0,0,1,1,1,0,0,20200101,20991231
413,1,0,1,1,1,0,0,20200101,20991231
414,0,1,1,1,1,0,0,20200101,20991231
415,1,1,1,1,1,0,0,20200101,20991231
416,0,0,0,0,0,1,0,20200101,20991231
417,1,0,0,0,0,1,0,20200101,20991231
418,0,1,0,0,0,1,0,20200101,20991231
419,1,1,0,0,0,1,0,20200101,20991231
420,0,0,1,0,0,1,0,20200101,20991231
421,1,0,1,0,0,1,0,20200101,20991231
422,0,1,1,0,0,1,0,20200101,20991231
423,1,1,1,0,0,1,0,20200101,20991231
424,0,0,0,1,0,1,0,20200101,20991231
425,1,0,0,1,0,1,0,20200101,20991231
426,0,1,0,1,0,1,0,20200101,20991231
427,1,1,0,1,0,1,0,20200101,20991231
428,0,0,1,1,0,1,0,20200101,20991231
429,1,0,1,1,0,1,0,20200101,20991231
430,0,1,1,1,0,1,0,20200101,20991231
431,1,1,1,1,0,1,0,20200101,20991231
432,0,0,0,0,1,1,0,20200101,20991231
433,1,0,0,0,1,1,0,20200101,20991231
434,0,1,0,0,1,1,0,20200101,20991231
435,1,1,0,0,1,1,0,20200101,20991231
436,0,0,1,0,1,1,0,20200101,20991231
437,1,0,1,0,1,1,0,20200101,20991231
438,0,1,1,0,1,1,0,20200101,20991231
439,1,1,1,0,1,1,0,20200101,20991231
440,0,0,0,1,1,1,0,20200101,20991231
441,1,0,0,1,1,1,0,20200101,20991231
442,0,1,0,1,1,1,0,20200101,20991231
443,1,1,0,1,1,1,0,20200101,20991231
444,0,0,1,1,1,1,0,20200101,20991231
445,1,0,1,1,1,1,0,20200101,20991231
446,0,1,1,1,1,1,0,20200101,20991231
447,1,1,1,1,1,1,0,20200101,20991231
448,0,0,0,0,0,0,1,20200101,20991231
449,1,0,0,0,0,0,1,20200101,20991231
450,0,1,0,0,0,0,1,20200101,20991231
451,1,1,0,0,0,0,1,20200101,20991231
452,0,0,1,0,0,0,1,20200101,20991231
453,1,0,1,0,0,0,1,20200101,20991231
454,0,1,1,0,0,0,1,20200101,20991231
455,1,1,1,0,0,0,1,20200101,20991231
456,0,0,0,1,0,0,1,20200101,20991231
457,1,0,0,1,0,0,1,20200101,20991231
458,0,1,0,1,0,0,1,20200101,20991231
459,1,1,0,1,0,0,1,20200101,20991231
460,0,0,1,1,0,0,1,20200101,20991231
461,1,0,1,1,0,0,1,20200101,20991231
462,0,1,1,1,0,0,1,20200101,20991231
463,1,1,1,1,0,0,1,20200101,20991231
464,0,0,0,0,1,0,1,20200101,20991231
465,1,0,0,0,1,0,1,20200101,20991231
466,0,1,0,0,1,0,1,20200101,20991231
467,1,1,0,0,1,0,1,20200101,20991231
468,0,0,1,0,1,0,1,20200101,20991231
469,1,0,1,0,1,0,1,20200101,20991231
470,0,1,1,0,1,0,1,20200101,20991231
471,1,1,1,0,1,0,1,20200101,20991231
472,0,0,0,1,1,0,1,20200101,20991231
473,1,0,0,1,1,0,1,20200101,20991231
474,0,1,0,1,1,0,1,20200101,20991231
475,1,1,0,1,1,0,1,20200101,20991231
476,0,0,1,1,1,0,1,20200101,20991231
477,1,0,1,1,1,0,1,20200101,20991231
478,0,1,1,1,1,0,1,20200101,20991231
479,1,1,1,1,1,0,1,20200101,20991231
480,0,0,0,0,0,1,1,20200101,20991231
481,1,0,0,0,0,1,1,20200101,20991231
482,0,1,0,0,0,1,1,20200101,20991231
483,1,1,0,0,0,1,1,20200101,20991231
484,0,0,1,0,0,1,1,20200101,20991231
485,1,0,1,0,0,1,1,20200101,20991231
486,0,1,1,0,0,1,1,20200101,20991231
487,1,1,1,0,0,1,1,20200101,20991231
488,0,0,0,1,0,1,1,20200101,20991231
489,1,0,0,1,0,1,1,20200101,20991231
490,0,1,0,1,0,1,1,20200101,20991231
491,1,1,0,1,0,1,1,20200101,20991231
492,0,0,1,1,0,1,1,20200101,20991231
493,1,0,1,1,0,1,1,20200101,20991231
494,0,1,1,1,0,1,1,20200101,20991231
495,1,1,1,1,0,1,1,20200101,20991231
496,0,0,0,0,1,1,1,20200101,20991231
497,1,0,0,0,1,1,1,20200101,20991231
498,0,1,0,0,1,1,1,20200101,20991231
499,1,1,0,0,1,1,1,20200101,20991231
500,0,0,1,0,1,1,1,20200101,20991231
501,1,0,1,0,1,1,1,20200101,20991231
502,0,1,1,0,1,1,1,20200101,20991231
503,1,1,1,0,1,1,1,20200101,20991231
504,0,0,0,1,1,1,1,20200101,20991231
505,1,0,0,1,1,1,1,20200101,20991231
506,0,1,0,1,1,1,1,20200101,20991231
507,1,1,0,1,1,1,1,20200101,20991231
508,0,0,1,1,1,1,1,20200101,20991231
509,1,0,1,1,1,1,1,20200101,20991231
510,0,1,1,1,1,1,1,20200101,20991231
511,1,1,1,1,1,1,1,20200101,20991231
