trip_id,route_id,start_time,end_time,origin,destination,distance_km,candidate_path,source
1862-1-288-1720,1862,17:20:00,17:41:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-1730,1862,17:30:00,17:51:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-1735,1862,17:35:00,17:56:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-1745,1862,17:45:00,18:06:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-1750,1862,17:50:00,18:11:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-1800,1862,18:00:00,18:21:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-1805,1862,18:05:00,18:26:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-1815,1862,18:15:00,18:36:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-1820,1862,18:20:00,18:41:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-1830,1862,18:30:00,18:51:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-1835,1862,18:35:00,18:56:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-1845,1862,18:45:00,19:06:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-1850,1862,18:50:00,19:11:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-1900,1862,19:00:00,19:21:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-1905,1862,19:05:00,19:26:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-1915,1862,19:15:00,19:36:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-1920,1862,19:20:00,19:41:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-1930,1862,19:30:00,19:51:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-1935,1862,19:35:00,19:56:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-1945,1862,19:45:00,20:06:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-1950,1862,19:50:00,20:11:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2000,1862,20:00:00,20:21:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2005,1862,20:05:00,20:26:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2015,1862,20:15:00,20:36:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2020,1862,20:20:00,20:41:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2030,1862,20:30:00,20:51:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2035,1862,20:35:00,20:56:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2045,1862,20:45:00,21:06:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2050,1862,20:50:00,21:11:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2100,1862,21:00:00,21:21:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2105,1862,21:05:00,21:26:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2115,1862,21:15:00,21:36:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2120,1862,21:20:00,21:41:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2130,1862,21:30:00,21:51:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2135,1862,21:35:00,21:56:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2145,1862,21:45:00,22:06:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2150,1862,21:50:00,22:11:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2200,1862,22:00:00,22:21:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2205,1862,22:05:00,22:26:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2215,1862,22:15:00,22:36:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2220,1862,22:20:00,22:41:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2230,1862,22:30:00,22:51:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2235,1862,22:35:00,22:56:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2245,1862,22:45:00,23:06:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2250,1862,22:50:00,23:11:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2300,1862,23:00:00,23:21:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2305,1862,23:05:00,23:26:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2315,1862,23:15:00,23:36:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2320,1862,23:20:00,23:41:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2330,1862,23:30:00,23:51:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2335,1862,23:35:00,23:56:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-288-2345,1862,23:45:00,24:06:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
